R2;;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
31,895;;;17:48;18:06;|;;18:29;;19:01;19:28;19:59;|;20:28;
34,433;Dêbe Wielkie;o o;17:51;18:09;|;;18:32;;19:04;19:31;20:02;|;20:31;
35,743;Nowe Dêbe Wielkie;;17:53;18:11;|;;18:34;;19:06;19:33;20:04;|;20:33;
38,882;Wrzosów;o;17:56;18:14;|;;18:37;;19:09;19:36;20:07;|;20:36;
43,677;Miñsk Maz.;p;18:00;18:18;18:22;;18:40;;19:14;19:39;20:11;20:15;20:39;
;;o;18:01; ;18:23;;18:41;; ;19:40; ;20:16;20:48;
46,169;Miñsk Maz. Anielina Barcz¹ca;o o;18:04;;|;;18:44;;;19:43;;|;20:50;
49,225;;;18:07;;|;;18:47;;;19:46;;|;20:53;
53,486;Mienia Ceg³ów;o o;18:10;;|;;18:50;;;19:49;;|;20:57;
56,866;;;18:14;;18:30;;18:53;;;19:52;;20:23;21:00;
61,767;Mrozy;p;18:17;;18:33;;18:57;;;19:56;;20:27;21:03;
66,876;Grodziszcze Maz.;o o;18:18;;18:34;;18:57;;;19:56;;20:28;21:04;
;;;18:22;;|;;19:01;;;20:00;;|;21:08;
71,847;Sosnowe Koszewnica;o o;18:26;;|;;19:05;;;20:04;;|;21:12;
75,251;;;18:29;;|;;19:08;;;20:07;;|;21:15;
80,51;Kotuñ Sabinka;o o;18:33;;18:43;;19:12;;;20:11;;20:37;21:19;
88,427;;;18:38;;|;;19:17;;;20:16;;|;21:24;
92,945;Siedlce Zach.;o;18:42;;18:49;;19:20;;;20:19;;20:44;21:27;
95,776;Siedlce;p;18:45;;18:52;;19:23; ;;20:22;;20:47;21:30; 
;;o; ;; ;; ;19:33;; ;;20:48; ;21:35
98,496;Siedlce Wschodnie;o o;;;;;;19:36;;;;20:51;;21:38
100,417;Bia³ki Siedleckie;;;;;;;19:39;;;;20:53;;21:41
103,415;Kosiorki;o o;;;;;;19:42;;;;20:56;;21:44
105,962;Borki Kosy;;;;;;;19:45;;;;20:59;;21:47
