stacja;latitude;longitude;cnt_arriva;cnt_kd;cnt_km;cnt_kw;cnt_ks;cnt_ic;cnt_pr;cnt_skm_t;cnt_skm_w
Chojnice;53.687822;17.575628;6;0;0;0;0;0;19;0;0
Chojnik;49.851792;20.985167;0;0;0;0;0;0;12;0;0
Chojnów;51.277764;15.937514;0;21;0;0;0;0;6;0;0
Chorzów Batory;50.277778;18.944444;0;0;0;0;58;0;1;0;0
Chorzów Miasto;50.298333;18.949722;0;0;0;0;14;2;0;0;0
Chorzów Stary;50.316111;18.957222;0;0;0;0;14;0;0;0;0
Chor¹giewka;52.9484057;18.5205298;0;0;0;0;0;0;4;0;0
Choszczno;53.164722;15.403611;0;0;0;0;0;18;13;0;0
Chotomów;52.415278;20.886111;0;0;77;0;0;0;0;0;0
Choty³ów;51.996667;23.358056;0;0;0;0;0;6;14;0;0
Chronów;51.358056;20.929167;0;0;5;0;0;0;2;0;0
Chrosna;52.034722;21.444444;0;0;39;0;0;0;0;0;0
Chrosnica;52.267965;16.0028462;0;0;0;15;0;0;4;0;0
Chrusty Nowe;51.695139;19.794389;0;0;0;0;0;0;19;0;0
Chruszczobród;50.4;19.328889;0;0;0;0;36;0;0;0;0
Chrzanów;50.13366;19.398848;0;0;0;0;0;0;24;0;0
Chrzanów Œródm.;50.143865;19.413568;0;0;0;0;0;0;24;0;0
Chrz¹stowice Olk;50.343653;19.684796;0;0;0;0;0;0;8;0;0
Chrzêsne;52.446944;21.473889;0;0;24;0;0;7;0;0;0
Chróœcina Nyska;50.6229062;17.3692589;0;0;0;0;0;0;6;0;0
Chróœcina Opolska;50.6655541;17.8173273;0;0;0;0;0;0;16;0;0
Chybie;49.892833;18.810833;0;0;0;0;7;0;0;0;0
Chybie Mnich;49.887556;18.821028;0;0;0;0;9;0;0;0;0
Chynów;51.9025;21.100556;0;0;40;0;0;0;0;0;0
Ciasna;50.757778;18.628056;0;0;0;0;0;0;10;0;0
Ciechanowice;50.865933;15.980322;0;0;0;0;0;0;16;0;0
Ciechanów;52.883611;20.590833;0;0;23;0;0;10;0;0;0
Ciechanów Przemys³owy;52.863611;20.616111;0;0;27;0;0;0;0;0;0
